topic;term_01;term_02;term_03;term_04;term_05;term_06;term_07;term_08;term_09;term_10;term_11;term_12;label
1;hotel;room;good;not;breakfast;nice;bathroom;location;great;small;the;rooms;Sauberkeit
2;beach;not;resort;food;great;pool;good;did;just;time;day;people;Lage/Anbindung
3;hotel;great;room;stay;location;nice;not;staff;stayed;rooms;good;clean;Sauberkeit
4;not;room;hotel;did;night;desk;service;stay;told;day;time;rooms;Personal/Service
5;hotel;staff;great;stay;room;location;stayed;excellent;helpful;rooms;not;breakfast;Personal/Service
